Тайтл,Общее время (ч.),Количество просмотров,Количество платных просмотров,Среднее время (сек),Binge-Watch Rate,Средняя глубина просмотра тайтла (%),Источник: Главная (%),Источник: Пуш (%),Источник: Список эпизодов (%),Источник: Следующий эпизод (%),Источник: Диплинк (%),Источник: Лента (%),Источник: История (%),Источник: Поиск (%),Источник: Жанр (%),Источник: Избранное (%),Источник: Карусель (%),Источник: Внутри подборки (%),Источник: Каталог (%),Источник: Предыдущий эпизод (%),Retention 3 (%),Retention 5 (%),Retention 10 (%),Retention 15 (%),Источник: Подборка (%),Retention 30 (%),Источник: Внутри карусели (%)
The Day We Got Married,22.05527777777778,2198,18,36.12329390354868,5.431578947368421,3.3425007693321267,1.5468607825295724,0.4549590536851683,3.776160145586897,58.28025477707006,1.8198362147406733,12.738853503184714,0.09099181073703366,0.818926296633303,0.9099181073703366,1.7743403093721566,0.18198362147406733,3.6396724294813465,2.5022747952684257,3.7306642402183803,79.2083712465878,70.7916287534122,62.46587807097361,58.3712465878071,4.276615104640582,52.775250227479525,0.0
Изи катка,21.970555555555556,2239,15,35.32559178204556,2.4012738853503186,1.7945914941255001,0.49129075480125056,0.044662795891022775,1.5185350602947745,46.53863331844573,0.1786511835640911,17.954443948191155,0.2233139794551139,1.3398838767306833,1.1612326931665922,0.0,14.917373827601608,4.33229120142921,2.7690933452434123,3.3050468959356856,77.4452880750335,65.96694953104064,52.16614560071461,45.19874944171505,4.778919160339437,37.33809736489504,0.0
Девушка с характером,20.005277777777778,1421,28,50.68191414496833,4.310344827586207,4.473749435493439,0.5629838142153413,0.0,0.422237860661506,61.576354679802954,0.0,20.19704433497537,0.14074595355383532,1.0555946516537649,1.1259676284306825,0.0,0.0,3.9408866995073892,6.33356790992259,0.844475721323012,80.36593947923997,70.72484166080226,60.309641097818435,56.29838142153413,3.6593947923997185,48.83884588318086,0.0
Учитель,19.858055555555556,1630,2,43.85828220858896,3.4318181818181817,2.5120721001834974,0.06134969325153374,0.0,0.6748466257668712,45.52147239263804,0.0,18.773006134969325,0.3067484662576687,1.5950920245398772,1.3496932515337423,0.0,0.0,1.0429447852760736,8.036809815950921,4.171779141104294,79.6319018404908,66.87116564417178,54.84662576687116,49.32515337423313,18.404907975460123,41.34969325153374,0.0
Секретарь райкома,19.739166666666666,1536,8,46.263671875,2.7674418604651163,2.9545190908059036,0.13020833333333334,0.0,1.171875,46.744791666666664,0.0,20.5078125,0.13020833333333334,2.6041666666666665,1.1067708333333333,0.06510416666666667,0.0,1.6927083333333333,11.197916666666666,5.729166666666667,81.38020833333333,71.22395833333333,58.7890625,51.953125,8.658854166666666,42.838541666666664,0.0
Marry The Wrong Bride,19.673333333333332,2062,27,34.34723569350145,3.951219512195122,1.7141674643638127,1.8913676042677012,0.09699321047526673,3.8797284190106693,45.586808923375365,0.4364694471387003,14.306498545101842,0.533462657613967,1.0184287099903007,0.9214354995150339,2.3278370514064015,0.19398642095053345,3.2492725509214355,5.18913676042677,2.0853540252182348,72.69641125121241,60.71774975751698,49.8545101842871,42.289039767216295,17.31328806983511,30.552861299709022,0.0
Hollywood Star`s Fake Girlfriend,17.375833333333333,1735,20,36.05360230547551,5.093023255813954,2.5232099984510534,1.8443804034582132,0.05763688760806916,0.7492795389048992,57.002881844380404,0.0,22.13256484149856,0.11527377521613832,0.5763688760806917,0.1729106628242075,0.23054755043227665,0.0,0.7492795389048992,2.0172910662824206,1.037463976945245,76.48414985590779,64.78386167146974,54.12103746397695,48.76080691642651,11.873198847262248,42.88184438040346,0.0
My Handsome Bodyguard,16.0325,1456,14,39.6407967032967,4.872727272727273,2.5982497366501907,0.20604395604395603,0.20604395604395603,1.098901098901099,56.31868131868132,2.129120879120879,23.9010989010989,0.13736263736263737,1.9917582417582418,0.27472527472527475,0.0,0.0,1.098901098901099,3.5714285714285716,1.6483516483516483,78.15934065934066,67.99450549450549,57.55494505494506,51.717032967032964,7.142857142857143,43.26923076923077,0.0
Три встречи,15.658055555555556,1120,22,50.32946428571429,3.638888888888889,3.70189406103735,0.26785714285714285,0.0,1.1607142857142858,55.17857142857143,0.08928571428571429,27.5,0.08928571428571429,0.8035714285714286,1.0714285714285714,0.08928571428571429,0.0,4.464285714285714,8.303571428571429,0.8928571428571429,78.48214285714286,70.26785714285714,57.767857142857146,53.482142857142854,0.0,47.410714285714285,0.0
Солистка балета,15.535833333333333,1184,11,47.23733108108108,2.6056338028169015,3.506854571720941,0.7601351351351351,0.0,0.8445945945945946,52.61824324324324,0.0,23.81756756756757,0.16891891891891891,1.1824324324324325,1.2668918918918919,0.0,0.08445945945945946,2.956081081081081,8.699324324324325,1.8581081081081081,77.36486486486487,65.11824324324324,53.20945945945946,50.0,5.658783783783784,44.679054054054056,0.0
Близнецы,15.41388888888889,1440,10,38.53472222222222,2.7787610619469025,3.1688996682620623,0.06944444444444445,0.0,1.4583333333333333,44.375,0.0,21.38888888888889,0.4166666666666667,2.8472222222222223,5.486111111111111,0.1388888888888889,0.06944444444444445,1.0416666666666667,10.625,4.791666666666667,79.65277777777777,68.75,55.90277777777778,48.81944444444444,7.013888888888889,39.02777777777778,0.0
I Think My Wife Wants To Kill Me. Season 1,14.293333333333333,1349,18,38.143810229799854,3.108108108108108,1.7579258006085234,0.815418828762046,0.0,1.5567086730911786,56.634544106745736,2.6686434395848777,23.869532987398074,0.0,3.039288361749444,0.07412898443291327,0.0,0.0,1.111934766493699,4.966641957005189,1.4825796886582654,78.28020756115642,67.0867309117865,52.4833209785026,46.330615270570796,3.039288361749444,39.73313565604151,0.0
Весёлые ребята,14.239722222222222,1088,14,47.11672794117647,2.9545454545454546,3.0858813239257388,0.18382352941176472,0.0,0.9191176470588235,53.216911764705884,0.0,22.977941176470587,0.0,1.7463235294117647,1.6544117647058822,0.18382352941176472,0.0,6.985294117647059,9.834558823529411,2.297794117647059,74.26470588235294,64.79779411764706,56.158088235294116,51.470588235294116,0.0,44.94485294117647,0.0
Hidden Agenda,14.167222222222222,1705,12,29.913196480938417,4.7924528301886795,2.163540261481161,0.3519061583577713,0.17595307917888564,2.2873900293255134,60.76246334310851,2.346041055718475,19.178885630498534,0.11730205278592376,0.6451612903225806,0.0,0.0,0.0,0.0,11.55425219941349,1.2316715542521994,73.19648093841643,61.52492668621701,48.38709677419355,42.287390029325515,0.0,34.193548387096776,0.0
The Phoenix Conspiracy,13.876666666666667,1490,1,33.52751677852349,2.1743119266055047,1.508664948092455,0.06711409395973154,0.33557046979865773,1.74496644295302,37.986577181208055,2.2818791946308723,23.48993288590604,0.33557046979865773,3.221476510067114,0.0,1.0067114093959733,0.0,0.0,23.55704697986577,3.8926174496644297,71.0738255033557,60.13422818791946,47.651006711409394,41.67785234899329,0.0,30.268456375838927,0.0
Подкидыш,13.57638888888889,1095,21,44.63470319634703,2.5952380952380953,5.045577957405515,0.091324200913242,0.0,0.45662100456621,52.96803652968037,0.0,29.1324200913242,0.182648401826484,1.461187214611872,1.004566210045662,0.0,0.0,4.657534246575342,8.858447488584474,0.91324200913242,78.35616438356165,68.94977168949772,58.17351598173516,53.881278538812786,0.0,48.401826484018265,0.0
